1.01.2014,Стрелец,"
Сегодня Стрельцам необходимо быть осторожными в общении с близкими людьми. В первой половине дня лучше не затевать споров и постараться не ввязываться в конфликты. Если вам необходимо решить какой-то вопрос, сделайте это вечером, когда обстановка в семье будет более дружелюбной.
"
2.01.2014,Стрелец,"
Стрельцам звезды советуют начинать все дела прямо с самого утра. Вам придется найти компромисс между своей интуицией, которая будет сегодня весьма полезна, и здравым смыслом, про который тоже забывать не стоит. Также весьма полезны будут советы окружающих.
"
3.01.2014,Стрелец,"
Весьма удачный день для Стрельцов. Все ваши цели будут достигнуты с легкостью. Однако звезды предупреждает, не стоит начинать сегодня новое дело, лучше сконцентрироваться на поддержании уже завоеванных позиций.
"
4.01.2014,Стрелец,"
Стрельцы сегодня будут подчинены полностью общению на работе. Вас ждут деловые беседы, встречи, совещания.  Звезды советуют обратить внимание на настрой начальства и поговорить с ним о заработной плате. Этот разговор может иметь весьма благоприятные последствия.
"
5.01.2014,Стрелец,"
Стрельцу сегодня будет сложно следовать дисциплине. Вас будет одолевать желание пойти против системы. Постарайтесь все важные дела решить утром, когда вы еще можете контролировать свое поведение, вечером постарайтесь быть внимательнее к тому, что говорите.
"
6.01.2014,Стрелец,"
Козерог сегодня будет обладать полным набором качеств организатора, дипломата и профессионала своего дела, что позволит ему добиться своей цели. Причем, большое значение будет иметь, именно, мыслительная деятельность, а не физическая.
"
7.01.2014,Стрелец,"
Хороший день для Стрельцов для общения с коллегами, друзьями и близкими. Возможно, вы возобновит отношения со старым партнером издалека. Если вы собирались назначить встречу с правозащитником, то лучшего дня вам не найти.
"
8.01.2014,Стрелец,"
У Стрельцов первая половина дня подходит для решения проблем, ведения переговоров. Вас будут занимать мысли о вашем будущем, будущем ваших проектов. К вечеру вам захочется побыть наедине, все обдумать более тщательно.
"
9.01.2014,Стрелец,"
Стрельцам звезды советуют не доверять незнакомым людям. Если вам требуется некоторая сумма денег, то лучше идти к тому человеку, которого вы хорошо знаете. Не ввязывайтесь ни в какие авантюрные дела, иначе минимум, что вас ждет это долги.
"
10.01.2014,Стрелец,"
В течение всего дня Стрельцов будут одолевать желания, пороки. Если вы все-таки планируете их удовлетворить, то будьте осторожны, поскольку вполне вероятен обман. Вечером вы сможете сконцентрироваться на создании плана дальнейших своих действий.
"
11.01.2014,Стрелец,"
Сегодня вы, Стрельцы, будете действовать под влиянием чего угодно, только не логики. Но не беспокойтесь, в большинстве случаев день окажется весьма удачным. Кроме того, сегодня вы получите шанс укрепить свой авторитет в семье или на работе.
"
12.01.2014,Стрелец,"
Сегодня звезды советуют Стрельцам быть внимательнее к предлагаемым судьбой возможностям - возможно, они  будут предоставлены в последний раз. Также сегодня вы заметите за собой резкие перемены настроения и излишнюю зависимость от ближайшего окружения.
"
13.01.2014,Стрелец,"
Сегодня вам, Стрельцы, представится возможность взглянуть на свою работу и планы объективно и критично, что даст выявить, как мелкие, так и крупные недочеты. Будьте внимательны в финансовых делах, поскольку не исключены потери. Новые проекты оставьте на потом.
"
14.01.2014,Стрелец,"
Стрельцы сегодня будут отблагодарены за свою работу материальными благами. Вы достигнете такого результата благодаря своей работе, а также помощи авторитетного человека. Не беспокойтесь вы получите ровно столько, сколько заслужили и не больше.
"
