10.06.2013;Овен;"
Овнам следует проявить оригинальность и выдержку. Не торопите событий, особенно, если дело касается интересующего вас человека. Продумайте наперед характер сегодняшней встречи, или, если она по каким-то причинам не состоится, способ наиболее дипломатично отложить ее на потом.
";;;;;;;;;;;
10.06.2013;Телец;"
Тельцам придется прибегнуть к интуитивному поиску решений. Не все ваши попытки заинтересовать кого-то могут оказаться успешными. Следует подумать о том, что каждый человек идет на контакт когда его понимают.
";;;;;;;;;;;
10.06.2013;Близнецы;"
у Близнецов будет насыщенным днем. Хотя некоторая нерасторопность может не позволить вам исполнить все задуманное. Постарайтесь распланировать все дела заблаговременно, ведь хороший план - это половина успеха.
";;;;;;;;;;;
10.06.2013;Рак;"
Раки ощутят всю хрупкость доверия. Причем подорвано будет ваше. Тем не менее, не торопитесь разрывать отношений или стараться проучить негодяя - вы тоже могли не оправдать возлагаемых на вас надежд.
";;;;;;;;;;;
10.06.2013;Лев;"
Новые перспективы для Львов представляются пугающими. Несмотря на то, что все происходящее является следствием предпринятых вами действий - наступает некоторое разочарование. Поставьте себе новые цели. Далеко идущие планы стимулируют к тому, чтобы сконцентрироваться.
";;;;;;;;;;;
10.06.2013;Дева;"
Дев ожидает необходимость завершения некоторых дел. Осталось нанести последний штрих. Каким бы муторным не казалось это предприятие, его осуществление освободит от гнета чувства необходимости и придаст новой творческой энергии.
";;;;;;;;;;;
10.06.2013;Весы;"
Весы могут быть вовлечены в конфликт в качестве посредника. Это тот момент, когда ваши дипломатические качества необходимы, как никогда! Разрешите спор. Избегайте большего сочувствия к одной из сторон - так истины установить не получится.
";;;;;;;;;;;
10.06.2013;Скорпион;"
Скорпионы могут быть подвержены не справедливому давлению закона. Если вы не стоите на пути у крупных группировок организованной преступности, то это могут быть споры из-за транспортных происшествий или совершенно несправедливо назначенный штраф за переход проезжей части в неположенном месте.
";;;;;;;;;;;
10.06.2013;Стрелец;"
Стрельцы порадуются жизни.подходит для того, чтобы организовать небольшие посиделки, пригласить в гости друзей, или сходить с интересным человеком в кино. Также рекомендуется посетить театр, кроме тех случаев, когда вы в нем работаете.
";;;;;;;;;;;
10.06.2013;Козерог;"
Козероги встретят необыкновенную личность, необычное происшествие, возможен непредсказуемый поворот судьбы. Есть вероятность получения специфических знаний, возможно, сверхъестественного характера, или участие в массовых мероприятиях, посвященных ранее незнакомым для вас явлениям.
";;;;;;;;;;;
10.06.2013;Водолей;"
Водолеям предстоит покопаться в своем прошлом. Все может начаться с того, что вы найдете старый альбом с фотографиями, хотя также, это могут быть события, наталкивающие вас на какие-то воспоминания. 
";;;;;;;;;;;
10.06.2013;Рыбы;"
Рыбам сопутствует успех, особенно в тех случаях, когда другими овладеет азарт, вам удастся сохранить холодность и беспристрастность. Удача на вашей стороне, однако, злоупотреблять и гордиться этим не стоит - иначе возможно вспугнуть этого редкого и диковинного зверя.
";;;;;;;;;;;
11.06.2013;Овен;"
Овны заключены в круг финансовых и хозяйственных забот. Вы мечтаете выбраться на природу и вдохнуть свежего воздуха свободы, тем не менее, все же придется сделать шаг навстречу ограничивающим вас обстоятельствам, и завершить начатые мероприятия. После этого уже можно планировать отпуск.
";;;;;;;;;;;
11.06.2013;Телец;"
Тельцам рекомендуется воспользоваться природным обаянием. Вполне вероятно, что ваши коммуникативные навыки позволят успешно продвинуться по служебной лестнице или достичь новых высот в профессиональном мастерстве.
";;;;;;;;;;;
11.06.2013;Близнецы;"
У Близнецов возникнет новый порыв энтузиазма. вы энергичны и можете свернуть горы. Чтобы не сбиться с намеченного пути старайтесь быть организованнее и более четко ставить перед собой цель, не распыляя сил на огромное количество повседневных мелочей.
";;;;;;;;;;;
11.06.2013;Рак;"
Ракам стоит позвать в гости старых друзей, помочь обратившимся к ним за помощью, особенно если это касается обучения или какой-либо информации, которой вы можете поделиться без ущерба для себя. Также не исключено, что вы решите заработать давно оставленной вами деятельностью.
";;;;;;;;;;;
11.06.2013;Лев;"
Львам предстоит приложить немало усилий в завершении крупных дел. Причем коснуться это может не только , но и всего ближайшего периода времени. Не унывайте, если многое кажется безнадежным, главное, что есть, кому вас поддержать, хотя вы можете этого и не ощущать.
";;;;;;;;;;;
